network_label,target_names,thresh_rel_mis_median,thresh_rel_mis_95width,pop_rel_mis_median,pop_rel_mis_95width,thresh_abs_mis_median,thresh_abs_mis_95width,no_thresh_frac,pop_abs_mis_median,pop_abs_mis_95width,no_pop_frac,wobble_unstab,wobble_qlkunstab,wobble_tot
0161h-Mk3,efeETG_GB,-0.0541596873255161,0.5946895882923398,,,-0.4874371859296449,4.866206030150755,0.022995365819407386,,,1.0,0.007038168096916165,0.011764403454901692,0.007799850864112878
0161x-Mk5,efeETG_GB,-0.05890106269050117,0.6095261252499067,,,-0.4874371859296449,4.84359296482412,0.03549361044797079,,,1.0,0.007970722108914726,0.011047437561430569,0.00827077992451913
0161x-Mk4,efeETG_GB,-0.0541596873255161,0.6036634786837425,,,-0.4491206030150714,4.888819095477388,0.027243364695969666,,,1.0,0.008225157245017958,0.011850708604217166,0.007424428714408187
0161g-Mk4,efeETG_GB,-0.0541596873255161,0.5963484087102195,,,-0.3800251256281353,4.843592964824122,0.048202499648925715,,,1.0,0.009097260383399116,0.013120240581019139,0.008491138641476608
0161x-Mk3,efeETG_GB,-0.0541596873255161,0.5571859296482431,,,-0.4874371859296449,4.748115577889449,0.05582081168375228,,,1.0,0.006352688146213552,0.010598989980976047,0.007703124757604584
0161f-Mk5,efeETG_GB,-0.06197654941373484,0.5142074006395616,,,-0.4874371859296449,4.588756281407019,0.03545850301923887,,,1.0,0.007530367175944143,0.009798470213411431,0.007069504185674504
0161h,efeETG_GB,-0.0541596873255161,0.6218187712757346,,,-0.4491206030150714,4.913944723618091,0.033773346440106725,,,1.0,0.009386702493155165,0.01219615810087638,0.00751955343388153
0161c,efeETG_GB,-0.3433835845896145,0.6949638904907047,,,-2.560929648241198,7.65640703517588,0.023241117820530826,,,1.0,0.004349407317849528,0.0032016650932138366,0.0032052029532796383
0161h-Mk2,efeETG_GB,-0.0541596873255161,0.5702195186458638,,,-0.4874371859296449,4.84359296482412,0.02706782755231007,,,1.0,0.0076224102699058195,0.010715235876074088,0.006994496079459167
0161f,efeETG_GB,-0.0541596873255161,0.6236004584325164,,,-0.42650753768843686,4.935301507537691,0.025733745260497123,,,1.0,0.0066941655649833485,0.011161893490746207,0.007379428171657615
0161h-Mk5,efeETG_GB,-0.0541596873255161,0.5978008321175784,,,-0.3574120603015003,4.890075376884423,0.051291953377334644,,,1.0,0.007994244113764076,0.012043224415716073,0.007737973165317635
0161e-Mk5,efeETG_GB,-0.08926450433988048,0.4955108877721962,,,-0.6281407035175839,4.44535175879397,0.025487993259373683,,,1.0,0.007273082477438788,0.008245719391654053,0.006987236317592448
0161h-Mk4,efeETG_GB,-0.0541596873255161,0.6257186835076289,,,-0.4038944723618023,5.029522613065328,0.03749473388569021,,,1.0,0.0077156644118715105,0.011232011374963638,0.0073524077354713896
0161f-Mk2,efeETG_GB,-0.05856555504796639,0.5491976009077658,,,-0.4874371859296449,4.702889447236181,0.031526471001263864,,,1.0,0.009238550913762557,0.013051752523345445,0.009156700879424285
0161g-Mk3,efeETG_GB,-0.0541596873255161,0.6590848981750889,,,-0.3335427135678328,5.05464824120603,0.027734868698216543,,,1.0,0.009024867659488808,0.01445830858531024,0.00877224606155702
0161e-Mk4,efeETG_GB,-0.0541596873255161,0.6218187712757346,,,-0.4729899497487393,5.065860552763773,0.033141412722932174,,,1.0,0.008480526451954507,0.012387217017048424,0.007590106737089804
0161e,efeETG_GB,-0.07408007780839493,0.5464603720356197,,,-0.5577889447236135,4.7719849246231165,0.02780508355568038,,,1.0,0.00899159806389097,0.011506276448352145,0.008126415979532906
0161g-Mk5,efeETG_GB,-0.0541596873255161,0.5399088465583738,,,-0.4874371859296449,4.655150753768845,0.038267097317792445,,,1.0,0.008679820737203811,0.010884056697418338,0.007352861459499765
0161f-Mk4,efeETG_GB,-0.0541596873255161,0.6058865757358224,,,-0.33228643216079945,4.984296482412059,0.03552871787670271,,,1.0,0.008015427818869393,0.012475833309087603,0.008072591233366773
0161e-Mk3,efeETG_GB,-0.0541596873255161,0.5998413118222721,,,-0.4874371859296449,4.7958542713567835,0.02183682067125404,,,1.0,0.007548700460679025,0.012011975269135996,0.008332494571725984
0161f-Mk3,efeETG_GB,-0.044524950333059615,0.6350672280320528,,,-0.26319095477386334,5.123775125628137,0.03103496699901699,,,1.0,0.008547654075199019,0.013067141581683303,0.007990061305474966
0161e-Mk2,efeETG_GB,-0.0541596873255161,0.6294631049986805,,,-0.4729899497487393,4.983040201005026,0.02257407667462435,,,1.0,0.008654886800598918,0.016951600944962748,0.011153294231980457
0161g-Mk2,efeETG_GB,-0.0541596873255161,0.551323283082079,,,-0.4874371859296449,4.7481155778894495,0.04100547675888218,,,1.0,0.007114508586125016,0.01135611418805461,0.008211636085368523
0161x-Mk2,efeETG_GB,-0.05890106269050117,0.5340461999922097,,,-0.4874371859296449,4.584798994974876,0.03707344474090717,,,1.0,0.007246697880816158,0.011144893371435113,0.008569401589788691
0161d,efeETG_GB,-0.12706389088298548,0.7185259631490803,,,-0.9095477386934636,5.873743718592967,0.032860553293076813,,,1.0,0.007969146872370426,0.009942019421600862,0.007873773079096874
0161g,efeETG_GB,-0.0541596873255161,0.551323283082079,,,-0.4874371859296449,4.6551507537688455,0.021977250386181715,,,1.0,0.009711047125061406,0.012768134696077245,0.007933823732942913
0161x-Mk1,efeETG_GB,-0.0541596873255161,0.5855081860917501,,,-0.4874371859296449,4.9126884422110555,0.02397837382390114,,,1.0,0.008552040623878595,0.015005193989592361,0.010492047989708616
